Time,Tb_model,Tb_mod_n
400,135.8464185,135.7866183
401,136.1039694,135.9724474
402,136.3826269,136.1808219
403,136.309822,136.0658759
404,136.2516639,135.9651636
405,136.2454537,135.9139975
406,136.2479644,135.8681296
407,136.2725108,135.8468296
408,136.2814128,135.8143023
409,136.219424,135.7070027
410,136.0267077,135.4793052
411,135.8811166,135.2956808
412,135.9961051,135.3490742
413,135.9371652,135.2431573
414,135.8369464,135.1053903
415,135.9345213,135.1437968
416,136.1319843,135.2788184
417,136.2436775,135.334143
418,136.3360699,135.3730378
419,136.300802,135.2939781
420,136.4610547,135.3966659
421,136.4647663,135.3544733
422,136.5556068,135.3918999
423,136.6244434,135.408392
424,136.4708217,135.2284133
425,136.5293773,135.2454215
426,136.6696213,135.333866
427,136.8496089,135.4655707
428,136.7928397,135.380074
429,136.8402941,135.392149
430,136.8837303,135.3907968
431,136.9917509,135.4514525
432,137.1431929,135.5613178
433,137.3192113,135.6855449
434,137.3426211,135.675413
435,137.5127305,135.8057102
436,137.5507964,135.8074966
437,137.5721433,135.8044711
438,137.7207814,135.9072892
439,137.8462013,135.9950922
440,138.0759267,136.1794382
441,138.1790871,136.2517412
442,138.1290558,136.1785717
443,138.1633481,136.192029
444,138.1775186,136.1823608
445,138.2032807,136.1810098
446,138.4561738,136.3879394
447,138.4426807,136.3503386
448,138.7605679,136.6219911
449,138.8225977,136.6549696
450,139.1032988,136.891202
451,139.2490589,137.0027928
452,139.3021737,137.0271249
453,139.2803892,136.9770836
454,139.3779263,137.0445585
455,139.4447537,137.0863633
456,139.3047098,136.9347185
457,139.291084,136.8993594
458,139.3968739,136.9759453
459,139.5586185,137.0995224
460,139.3220795,136.8519202
461,139.1479872,136.6607059
462,139.1568154,136.6464565
463,139.2494379,136.7086788
464,139.2351005,136.6731654
465,139.2002325,136.6146492
466,139.3050996,136.6887385
467,139.0642247,136.4384126
468,138.9007291,136.2616637
469,138.8106939,136.1537577
470,138.8087793,136.1226235
471,138.6362006,135.940422
472,138.6681731,135.9507279
473,138.6025547,135.8614996
474,138.6202159,135.8607111
475,138.4464921,135.6807872
476,138.5124195,135.7179481
477,138.3334426,135.5289502
478,138.2776736,135.4606872
479,138.3270907,135.4903685
480,138.3738739,135.5084062
481,138.4178009,135.5284755
482,138.5276768,135.6116855
483,138.6239437,135.6842239
484,138.484988,135.5420602
485,138.5441464,135.5823031
486,138.6061623,135.6202062
487,138.6116787,135.6087451
488,138.7306126,135.7023248
489,138.744861,135.7095181
490,138.7582366,135.7116471
491,138.7940982,135.73237
492,138.8172256,135.7373455
493,138.7967052,135.7085948
494,138.7651277,135.6733187
495,138.7555223,135.6482625
496,138.6613325,135.5515083
497,138.7517166,135.6266695
498,138.6560228,135.5274569
499,138.5921438,135.4596818
500,138.5137725,135.3339764
501,138.7571673,135.4763939
502,139.0453538,135.6662341
503,139.1025465,135.6473844
504,139.3250043,135.7845759
505,139.3208547,135.7309119
506,139.5740609,135.8855858
507,139.4118704,135.68285
508,139.4018043,135.614399
509,139.5215677,135.6541526
510,139.6685831,135.7197196
511,139.7240863,135.717913
512,139.8194495,135.7289297
513,139.8187333,135.6604336
514,139.6662061,135.462675
515,139.8175658,135.5221048
516,139.7088379,135.3764815
517,139.6623336,135.2777162
518,139.6936523,135.2422311
519,139.5539905,135.0775567
520,139.4735299,134.9598387
521,139.427531,134.878433
522,139.5018378,134.8977581
523,139.516129,134.8570481
524,139.5246551,134.8291793
525,139.7748251,134.9987569
526,139.7446081,134.9415907
527,139.9556228,135.0695603
528,140.0603721,135.118764
529,140.2465723,135.2334848
530,140.2688708,135.2055014
531,140.2386475,135.14615
532,140.1708364,135.0586464
533,140.1804762,135.0280957
534,140.2197529,135.0390998
535,140.1757045,134.9627682
536,140.3168249,135.0455554
537,140.5553746,135.214855
538,140.8494517,135.4432905
539,140.9464435,135.4923359
540,141.0493494,135.5620385
541,141.0968309,135.5687052
542,141.188398,135.6098129
543,141.2729379,135.6457366
544,141.4696601,135.7848383
545,141.4915237,135.7806633
546,141.5241824,135.7933323
547,141.5891884,135.8253817
548,141.6093988,135.8092995
549,141.7124906,135.8774525
550,141.7291472,135.8643464
551,142.0130872,135.9937621
552,141.9028648,135.8092343
553,141.944623,135.7485392
554,141.8810034,135.6077392
555,141.7280472,135.3866643
556,142.0068976,135.5033769
557,141.9942347,135.3908434
558,142.215569,135.4577895
559,142.1837042,135.3291237
560,142.1233693,135.1835676
561,142.1405411,135.1094762
562,142.166673,135.0382402
563,142.2571303,135.0195558
564,142.3973622,135.0259004
565,142.5031171,135.0182146
566,142.2889134,134.7543198
567,142.1604941,134.5685486
568,142.4286439,134.6872745
569,142.5963255,134.7291575
570,142.8080571,134.8069819
571,142.748307,134.6916842
572,143.0072056,134.8180528
573,142.9910132,134.7341353
574,143.0580938,134.7097173
575,143.1889548,134.7385869
576,143.3956906,134.8266608
577,143.4887057,134.832291
578,143.6278356,134.870921
579,143.8045826,134.9530254
580,143.8303897,134.9161459
581,144.1087028,135.0734903
582,144.1641947,135.0554839
583,144.1323675,134.9801341
584,144.3081987,135.0753248
585,144.2514086,134.9837703
586,144.4946238,135.1153615
587,144.678144,135.207259
588,144.637781,135.1283792
589,144.8336234,135.2397713
590,145.1501212,135.4385961
591,145.2182212,135.4371951
592,145.4947137,135.6061343
593,145.7945639,135.8027324
594,145.8164796,135.7688656
595,145.9652782,135.8466527
596,146.1726152,135.9487244
597,146.4861001,136.1462194
598,146.7248274,136.2900078
599,146.6121724,136.1462661
600,146.6896481,136.1611689
601,146.6232499,136.0543689
602,146.5833318,135.980272
603,146.8074256,136.1024805
604,147.0193223,136.2165155
605,146.9168533,136.0813732
606,146.7548524,135.8914041
607,146.6676509,135.7576952
608,146.6483751,135.6920036
609,146.6804715,135.6572852
610,146.688264,135.6124364
611,146.5981,135.49346
612,146.46161,135.3390912
613,146.5372554,135.3460017
614,146.6307681,135.3652606
615,146.3872865,135.1187773
616,146.256278,134.958991
617,146.44897,135.0568678
618,146.4976235,135.0430313
619,146.6285977,135.1002648
620,146.4425064,134.9092202
621,146.2626869,134.7252303
622,146.3298426,134.7334081
623,146.1658253,134.564158
624,146.1562878,134.5284158
625,146.3454652,134.651659
626,146.5987974,134.8275885
627,146.4309808,134.6623985
628,146.6607763,134.814826
629,146.6757171,134.8060374
630,146.6737207,134.7722855
631,146.6433852,134.7232743
632,146.5939468,134.670682
633,146.602302,134.6494007
634,146.6068369,134.6325492
635,146.6857791,134.6806092
636,146.6746794,134.6512436
637,146.8238901,134.7490884
638,146.8029086,134.7225263
639,147.1987822,135.0201014
640,147.2246487,135.0193626
641,147.162922,134.9573435
642,147.4911163,135.1926709
643,147.3756725,135.0739546
644,147.5984142,135.2205421
645,147.5477163,135.1660669
646,147.7582747,135.3120892
647,147.9575482,135.4345135
648,147.8953567,135.361692
649,147.8301569,135.2715586
650,147.8505227,135.2637698
651,148.056845,135.3882851
652,147.9429241,135.2711606
653,147.7720085,135.1012482
654,147.9407455,135.1921863
655,148.1632305,135.336897
656,147.9587926,135.1339727
657,147.9108205,135.0502034
658,148.1663706,135.2193009
659,147.9848395,135.043522
660,147.9802971,135.0113515
661,147.9935044,134.9958611
662,148.0341473,134.9860078
663,148.1360517,135.0382238
664,147.8949769,134.8116529
665,147.8570425,134.7533642
666,148.0610418,134.888749
667,148.1124068,134.905719
668,148.2614806,134.9908754
669,148.0961727,134.8422241
670,148.2567055,134.9549031
671,148.3065325,134.977393
672,148.2628566,134.9191223
673,148.1508729,134.814429
674,148.0178774,134.6875665
675,148.0717348,134.7193586
676,148.0525251,134.6892304
677,148.016901,134.6469633
678,147.9188698,134.563901
679,147.9314712,134.5678806
680,148.0787986,134.6759265
681,148.1668982,134.7331683
682,148.2557188,134.8040758
683,148.4041765,134.908489
684,148.6242978,135.084653
685,148.8299304,135.2495954
686,148.8401699,135.2590747
687,149.0277881,135.3989426
688,149.1026503,135.4586606
689,149.3614132,135.6625879
690,149.3718484,135.6578716
691,149.341497,135.6238875
692,149.5832446,135.8015756
693,149.7232858,135.9065524
694,149.7956352,135.9409712
695,149.8486294,135.9637544
696,149.8409923,135.9504025
697,149.6780179,135.8111035
698,149.4136792,135.5779866
699,149.2827537,135.4638208
700,149.4650321,135.5478567
701,149.3824937,135.4405039
702,149.5077123,135.4749293
703,149.4056559,135.3395053
704,149.4426316,135.3031067
705,149.5720759,135.3349382
706,149.4497942,135.186589
707,149.4196257,135.119664
708,149.3898531,135.047639
709,149.6962767,135.2309241
710,149.5532801,135.0758244
711,149.5514925,135.0173104
712,149.728811,135.0967497
713,149.7228047,135.0496821
714,149.5497967,134.8674739
715,149.6805462,134.9169263
716,149.5955629,134.8094473
717,149.6071347,134.7702778
718,149.8168926,134.8924527
719,150.0362386,135.0125549
720,149.975888,134.935334
721,150.2151521,135.090924
722,150.1451171,135.0051133
723,150.0917862,134.9335501
724,149.9969308,134.8306972
725,150.0289973,134.8316754
726,150.2942584,135.0036362
727,150.336916,135.0242665
728,150.5027795,135.1300004
729,150.6808198,135.2385263
730,150.6046602,135.1694621
731,150.7045069,135.2223259
732,150.6885933,135.2018874
733,150.6917244,135.1846417
734,151.0551278,135.4464387
735,151.279507,135.5971493
736,151.3191626,135.6072679
737,151.4684598,135.6926697
738,151.5798433,135.7475703
739,151.6951769,135.8085573
740,151.8869222,135.9283602
741,151.8257641,135.8655454
742,152.0424276,136.0064007
743,152.2866766,136.162369
744,152.202308,136.0790142
745,152.0664805,135.9524385
746,152.0547884,135.9132701
747,152.1932435,135.9841112
748,152.236075,135.9868893
749,152.0032709,135.777813
750,151.924743,135.6801028
751,151.9923743,135.6877564
752,151.8797982,135.5777163
753,152.0815194,135.6963011
754,151.8564939,135.4893102
755,151.9364266,135.5159539
756,151.9749242,135.509461
757,151.8558702,135.3770728
758,151.8102355,135.3152596
759,151.8484869,135.3066198
760,151.8740822,135.2994986
761,151.964909,135.339848
762,151.8622856,135.245247
763,151.7370499,135.1335704
764,151.567243,134.9781271
765,151.4899962,134.8949758
766,151.4097258,134.8234122
767,151.3881238,134.7779027
768,151.6469067,134.9636767
769,151.4367694,134.783567
770,151.5605221,134.8590958
771,151.605455,134.8826762
772,151.8507278,135.0552665
773,151.8496879,135.0571428
774,151.9260364,135.1045062
775,152.1646492,135.2740871
776,152.1416473,135.2560468
777,152.2371163,135.318157
778,152.1424251,135.2489894
779,151.9614858,135.1055411
780,151.9938992,135.1328426
781,152.175,135.2733437
782,152.2747222,135.3516935
783,152.1064248,135.2142159
784,152.1624564,135.2446845
785,152.115994,135.2143302
786,152.0253788,135.1327677
787,151.9250626,135.0574087
788,151.8149084,134.9586918
789,152.0139493,135.0884014
790,152.3281972,135.3167663
791,152.4433002,135.3889978
792,152.4240094,135.3567636
793,152.2338591,135.192797
794,152.1673486,135.1320566
795,152.2681999,135.1956889
796,152.2825033,135.1867915
797,152.2046146,135.1130508
798,151.9689877,134.9089377
799,151.9579033,134.8668111
800,151.8824559,134.7906394
801,152.0908346,134.9218665
802,152.0566317,134.8723951
803,151.8198189,134.6688207
804,151.791842,134.6171285
805,151.619549,134.4605181
806,151.7157395,134.5000251
807,151.8148852,134.5533682
808,151.7213858,134.4687833
809,151.834314,134.5418058
810,151.65287,134.3810662
811,151.5209241,134.2709273
812,151.4525874,134.1979491
813,151.2609153,134.0388378
814,151.4728471,134.1841183
815,151.5536841,134.2329362
816,151.4295513,134.1286907
817,151.5350679,134.1913588
818,151.6331136,134.2543451
819,151.7333691,134.3276088
820,151.6822616,134.2931721
821,151.8626604,134.4227293
822,151.876072,134.4432852
823,151.7151701,134.3192701
824,151.9689749,134.520785
825,151.9707048,134.5184057
826,152.1526582,134.6602977
827,152.0969233,134.6294241
828,152.3792626,134.8489099
829,152.5495435,134.984653
830,152.4431168,134.9056809
831,152.7333526,135.1256246
832,152.6674153,135.0771362
833,152.6966144,135.1121126
834,152.7750139,135.1626822
835,152.7045014,135.119105
836,152.9915446,135.3338574
837,153.0579581,135.3795421
838,153.0845115,135.392054
839,153.0733758,135.3784702
840,153.2392742,135.5021088
841,153.149972,135.4204338
842,153.2561105,135.4883987
843,153.4201037,135.5963046
844,153.2152631,135.42598
845,152.9596828,135.2107219
846,153.0015493,135.2315495
847,152.7365273,135.0061427
848,152.7581588,134.9951159
849,152.7855713,135.0008724
850,152.599304,134.8311371
851,152.5141372,134.7488326
852,152.7260016,134.8735408
853,152.6749434,134.8106357
854,152.6965481,134.788611
855,152.5911264,134.6811687
856,152.5705522,134.6425133
857,152.5699385,134.6251114
858,152.7878577,134.7700943
859,152.9631225,134.8698852
860,153.1043478,134.9606073
861,153.1610487,134.9821438
862,153.0558316,134.880063
863,153.1267367,134.9281207
864,153.0908348,134.8833893
865,153.1714536,134.9370695
866,153.054624,134.8413505
867,153.2341954,134.9660077
868,153.1989319,134.9262093
869,153.1099297,134.8495265
870,153.3348368,135.0141855
871,153.5172436,135.136331
872,153.4622783,135.1096985
873,153.4330688,135.0970439
874,153.3835112,135.0570743
875,153.6887932,135.2949139
876,153.8298625,135.3957723
877,153.9779935,135.5056116
878,154.1548523,135.6347999
879,154.1818843,135.656537
880,154.4111374,135.8350239
881,154.3933523,135.8299596
882,154.383467,135.8124092
883,154.496439,135.8888367
884,154.6770888,136.010381
885,154.6224994,135.9664095
886,154.6526577,135.9899671
887,154.8200941,136.103501
888,154.7006889,136.0135073
889,154.9099544,136.1538648
890,155.0636231,136.251255
891,154.9246095,136.137648
892,154.8539017,136.0717075
893,155.0442134,136.1973836
894,154.9420338,136.0918726
895,154.7202207,135.8995402
896,154.5307748,135.7368445
897,154.394894,135.6030145
898,154.5389215,135.6862977
899,154.4976806,135.6261122
900,154.3528423,135.4978428
901,154.1177175,135.2939043
902,154.0640977,135.2375026
903,153.8731155,135.0759253
904,154.1406049,135.260342
905,153.8916243,135.0537171
906,154.0422722,135.1376916
907,154.2572754,135.2883274
908,154.0542094,135.1196734
909,154.3591089,135.3411737
910,154.1627954,135.1802423
911,154.3198278,135.2809504
912,154.1200995,135.1236855
913,154.2737238,135.2254067
914,154.4205358,135.3250594
915,154.2565767,135.1999087
916,154.1238738,135.10185
917,154.0197848,135.0292235
918,154.0613985,135.0674493
919,154.2446665,135.2172802
920,154.5724492,135.474956
921,154.8353782,135.6825846
922,154.7533421,135.6365866
923,154.7394036,135.643063
924,154.7382479,135.6471481
925,154.7134531,135.6329436
926,154.7371081,135.6550665
927,155.0104012,135.8700622
928,155.1159009,135.950196
929,155.4349839,136.1943152
930,155.6857648,136.3860318
931,155.7669895,136.4462353
932,155.6349226,136.3484027
933,155.6610463,136.3749232
934,155.673668,136.3875845
935,155.6758391,136.3804505
936,155.7713533,136.4393603
937,155.6396095,136.3362182
938,155.6185051,136.3120701
939,155.5731297,136.2574197
940,155.7054599,136.3409432
941,155.6436821,136.2815036
942,155.5120588,136.1607255
943,155.4123326,136.0587137
944,155.5850511,136.1655615
945,155.6677199,136.2028136
946,155.6838725,136.1882
947,155.7016236,136.1710339
948,155.7445412,136.1763465
949,155.5089603,135.9873555
950,155.5339759,135.988317
951,155.5909412,136.0021227
952,155.5099689,135.9218864
953,155.3902087,135.8220584
954,155.4058809,135.8100953
955,155.4048926,135.7979074
956,155.4674278,135.8371972
957,155.4375954,135.8197719
958,155.5695656,135.9170676
959,155.5189334,135.8838754
960,155.2820712,135.698151
961,155.1472241,135.5890149
962,154.9944564,135.4800138
963,154.879766,135.3976124
964,154.6577116,135.2332286
965,154.5694177,135.1809186
966,154.3798181,135.0443736
967,154.6068069,135.2291109
968,154.7274021,135.3283166
969,154.9374293,135.4899594
970,155.1979165,135.6983406
971,155.2028181,135.7216082
972,155.0700178,135.6323109
973,155.2597814,135.7870717
974,155.3116752,135.834392
975,155.6093145,136.0714671
976,155.6421383,136.0968853
977,155.652717,136.120098
978,155.9122438,136.3169652
979,155.6957699,136.1552168
980,155.7480517,136.2007279
981,155.6974797,136.1603764
982,155.7078881,136.1664553
983,155.6305313,136.1150139
984,155.734099,136.1853131
985,155.8864466,136.294913
986,155.924616,136.3130089
987,155.8217619,136.2206103
988,155.9552705,136.3128565
989,155.7893948,136.1694984
990,155.6518604,136.0614817
991,155.6170634,136.0326446
992,155.3399119,135.8048973
993,155.3797475,135.8252505
994,155.2457276,135.7003714
995,155.3812796,135.7783242
996,155.5469736,135.8853348
997,155.5523914,135.8822655
998,155.3439027,135.7127287
999,155.2627167,135.6378251
1000,155.1500731,135.5460811
